match_id,corner_id,minute,feature_avg_dist_attack,feature_avg_dist_defend,feature_attacker_spread,feature_numerical_advantage,feature_box_count_att,feature_box_count_def,target_shot
3857265,30b409ad-2dd0-4c1a-982d-226a1c85cded,44,19.00047296673882,10.311971009262756,12.942774174378652,-5,2,7,0
3857265,3d6d065b-82e4-4d5c-a3fd-930a5b7fc4f2,51,18.91550112360591,9.686634933297741,12.74328754767001,-5,3,8,0
3857265,3f017970-0b51-4b66-98e4-597b3178406a,83,18.169211670087808,10.314919448603055,13.80205121777282,-7,2,9,0
3857265,4805dc90-6634-4a77-9532-0d4f17073864,7,14.934629022807067,7.498850941136019,11.963312034748336,-5,4,9,0
3857265,5fa6ef21-135f-4390-998d-c3b36287ac10,6,14.291410126217663,7.814023390166182,12.006014152514643,-3,5,8,1
3857265,791cd89c-e432-4fd6-978f-63a877a16f3d,74,16.275665692440196,7.237005919652549,12.530501456619003,-5,5,10,0
3857265,8b76faa8-20a2-4cb3-bee4-a3f73126ade4,7,14.23195501562737,6.703577590427894,12.024161441630833,-4,5,9,0
3857265,94deaa1f-4ac8-4fad-9203-03338aa4c925,39,17.616252173422247,8.723924351883214,15.648025230808587,-6,3,9,0
3857265,f6b5c1b1-8090-4b32-b831-96bf8cb17975,90,18.936505648059764,8.242182536030286,14.128963109137581,-6,3,9,0
3869219,08c594ef-d0b2-454a-b54b-b8e63519673f,91,17.49087938682279,8.44773760720771,13.343797396039683,-5,4,9,1
3869219,4ec1923e-b623-4d2b-bfbd-3762cf15e255,72,19.376113483310917,10.7110004060785,13.278407086034896,-5,3,8,0
3869219,56ffdf03-bae3-4764-bf62-4d647c4b8715,111,16.708116304205973,10.46190337792744,10.955053405068085,-4,2,6,0
3869219,6090514b-4f4e-4c5d-b62a-3aab4c5a90be,62,22.34120881612414,13.712867799340323,11.425280631233196,-3,0,3,0
3869219,9d5c65f2-64b3-4422-bbbb-f5c0bd970e39,77,18.916518715340064,10.37030344076826,12.97932090096678,-6,2,8,0
3869219,cc6f871e-b2fd-45df-b94e-ed7ff7d4a6f4,57,16.48706534755766,7.856623940131882,13.635360174617817,-4,4,8,0
3869219,f340d2f3-fc2f-4f0a-823a-02555dd29b47,42,17.178176071189746,8.261714366238586,14.801051049657557,-6,3,9,0
3869219,ffb6f22a-afcd-49a3-a8e6-296e955f87fc,53,17.275326083914845,8.776186421909149,14.537438675054748,-3,5,8,0
3869220,12ec4f13-1469-47c8-bcc3-bf5620a274bd,121,18.997361910131623,12.466244411692298,13.241983115147601,-2,2,4,0
3869220,ce71ec34-0aa4-4155-9d9f-885f1f83c96b,119,23.251530808619453,12.142954933359556,11.509283268505815,-5,0,5,0
3795506,252bb153-f12f-43fc-8075-418cc79b69a8,12,20.082531711085785,8.784392874580178,13.156868300229766,-6,1,7,0
3795506,559748a3-3362-4f30-9097-3e231e3bed9a,120,15.632079686090288,6.911604595131975,13.693375068565857,-3,2,5,1
3795506,81372419-3d1a-408e-91e5-9717f9437d93,63,20.268059878892927,10.138253765146926,11.949887338274424,-6,1,7,1
3795506,d846f0d7-4540-4dbe-bc4f-ebe62cc8acb7,63,15.900563108769198,9.241713271578526,11.965527688001107,-6,2,8,0
3795506,dad10661-c4c8-479f-8498-b642b1c29299,96,21.970533682630496,10.125138537241252,14.694576823985795,-7,0,7,1
3795506,ed0b2177-e0e3-4319-95a8-3da7e1ff47ec,66,16.038682666610683,9.468958032187505,11.410577100169265,-2,4,6,1
3869253,4e87c206-feb0-4672-bc47-19a2e85f74a4,27,17.093434201884108,8.09522386718774,12.806333394270107,-2,6,8,0
3869253,6c15be4d-df9e-4c11-ad20-5e9cd88d0175,16,23.14937171521933,8.808672869117862,9.531682693434234,-8,0,8,1
3869253,7dce716d-9d09-4b56-834d-6357fc6d9ce2,62,20.599700698951796,9.290911833216793,13.62363111164903,-4,3,7,0
3869253,9902c40b-e9d7-4071-8985-e02d9bd7441b,89,16.736185017630987,9.05080279258223,11.803237160805141,-4,4,8,1
3869253,be758b5c-4886-4046-9a45-3c529a4748bc,47,16.721718861249354,8.575800973068628,12.3026357914101,-5,3,8,0
3869254,0fdd1313-edc0-42cd-8a91-2ebbdac86135,70,16.993408799591357,7.9230513503019715,11.552941145616497,-5,4,9,0
3869254,1b97f3ce-c6d7-4d54-9f2d-1491a6555071,32,18.6663493952758,9.887335305971199,11.685965027588999,-5,2,7,1
3869254,38acf27c-74fc-4a78-9969-6e42be89811f,5,19.408655803529918,8.619343538275631,14.196865601508884,-5,4,9,0
3869254,5ca9d28e-5002-46f6-a13a-2fe8ee120a7a,57,15.312460944511866,7.7448209880109316,11.911959588970591,-3,6,9,1
3869254,9ac1505e-50a3-4959-94b3-d16adb330772,47,16.83788370428117,11.427817717790289,13.744027411682934,-4,2,6,0
3869254,c953c4aa-70fb-4ce3-b0b3-bd3ef7b85411,48,18.046105408698626,9.66156971258031,11.286813132799082,-5,2,7,1
3869254,ca303b42-4668-453f-aae4-89121f1e44c4,60,11.58518263067562,7.9034629204049205,11.569096801405712,-1,7,8,0
3869321,2a7d94dc-4196-4e0d-94c4-5aa0697e72e1,20,21.095860096211542,11.78229721932296,11.749390166762966,-4,1,5,0
3869321,8b26fc97-bea8-4aaf-87e6-dcf5c3affb2d,85,19.690084360529934,10.56955633032077,9.325197340182278,-5,0,5,0
3869321,9d46fdfc-c34d-4f28-98b4-7f1ffb7cafe6,115,16.910518082377727,9.27193776664353,11.48990756805122,-6,2,8,0
